Initial number: 1000 Number per release: 1000 Number Releases: 8 Release Interval: 7
0.03333333333333333	2019	1513	515
0.06666666666666667	2008	1506	518
0.1	1998	1496	514
0.13333333333333333	1994	1491	514
0.16666666666666666	1987	1482	515
0.19999999999999998	1983	1477	515
0.2333333333333333	1973	1471	514
0.26666666666666666	1970	1466	514
0.3	1962	1463	512
0.3333333333333333	1952	1454	510
0.36666666666666664	1954	1445	514
0.39999999999999997	1941	1445	514
0.4333333333333333	1934	1432	513
0.4666666666666666	1936	1430	513
0.49999999999999994	1928	1427	514
0.5333333333333333	1923	1421	512
0.5666666666666667	1921	1420	513
0.6	1916	1416	511
0.6333333333333333	1910	1410	509
0.6666666666666666	1905	1407	507
0.7	1897	1405	504
0.7333333333333333	1892	1400	502
0.7666666666666666	1887	1396	502
0.7999999999999999	1882	1390	501
0.8333333333333333	1881	1382	507
0.8666666666666666	1873	1375	508
0.8999999999999999	1871	1376	508
0.9333333333333332	1863	1369	507
0.9666666666666666	1856	1365	505
0.9999999999999999	1840	1355	503
1.0333333333333332	1836	1342	504
1.0666666666666667	1834	1340	504
1.1	1827	1335	507
1.1333333333333335	1822	1327	509
1.166666666666667	1817	1317	509
1.2000000000000004	1809	1313	507
1.2333333333333338	1805	1303	509
1.2666666666666673	1801	1299	510
1.3000000000000007	1802	1300	511
1.3333333333333341	1795	1295	512
1.3666666666666676	1791	1291	514
1.400000000000001	1788	1286	511
1.4333333333333345	1783	1284	508
1.466666666666668	1788	1284	509
1.5000000000000013	1781	1286	508
1.5333333333333348	1775	1277	508
1.5666666666666682	1767	1272	509
1.6000000000000016	1765	1265	509
1.633333333333335	1760	1259	510
1.6666666666666685	1752	1252	510
1.700000000000002	1750	1251	512
1.7333333333333354	1750	1243	514
1.7666666666666688	1745	1238	514
1.8000000000000023	1738	1235	513
1.8333333333333357	1731	1230	510
1.8666666666666691	1728	1226	512
1.9000000000000026	1719	1222	508
1.933333333333336	1714	1219	506
1.9666666666666694	1711	1214	503
2.0000000000000027	1716	1215	506
2.033333333333336	1713	1213	509
2.066666666666669	1703	1207	508
2.1000000000000023	1695	1202	504
2.1333333333333355	1691	1200	501
2.1666666666666687	1688	1194	508
2.200000000000002	1682	1183	508
2.233333333333335	1678	1180	507
2.2666666666666684	1673	1179	504
2.3000000000000016	1676	1177	503
2.333333333333335	1682	1180	508
2.366666666666668	1678	1178	508
2.4000000000000012	1682	1177	512
2.4333333333333345	1679	1177	513
2.4666666666666677	1676	1169	515
2.500000000000001	1670	1167	515
2.533333333333334	1669	1162	514
2.5666666666666673	1667	1164	516
2.6000000000000005	1669	1162	513
2.6333333333333337	1663	1160	512
2.666666666666667	1664	1158	513
2.7	1655	1157	513
2.7333333333333334	1645	1149	510
2.7666666666666666	1639	1142	508
2.8	1640	1134	508
2.833333333333333	1630	1134	509
2.8666666666666663	1630	1130	506
2.8999999999999995	1627	1126	508
